Test Case ID,Module,Title,Description/User Story,Preconditions,Test Steps,Expected Results,Test Data,Defects/Remarks,Req ID,Status,Automation,Test Type,Priority,State
,,,,,2. Identify navigation links/menus: Locate all navigation links/menus from the navigation bar and any contextual or quick links.,,,,,,,,,
,,,,,"3. Confirm on each navigation menus: (Scheduling, Operations, Adminstiration, Reports, Library).",,,,,,,,,
RFMSS-SMK-138,Home,Verify Navigation Links (Unit),Verify that all navigation links on the Home page work correctly for Unit user.,Unit user logged in.,1. Log in to the application using the Unit user credentials.,All navigation links redirect to the correct pages for Unit user.,Logged in as Unit user,,RQ_005,PASS,TBD,Functional (Positive),High,Active
,,,,,2. Identify navigation links/menus: Locate all navigation links/menus from the navigation bar and any contextual or quick links.,,,,,,,,,
,,,,,"3. Confirm on each navigation menus: (Scheduling, Operations, Adminstiration, Reports, Library).",,,,,,,,,
RFMSS-SMK-141,Home,Verify Navigation Links (Sch),Verify that all navigation links on the Home page work correctly for Scheduler user.,Scheduler user logged in.,1. Log in to the application using the Scheduler user credentials.,All navigation links redirect to the correct pages for Scheduler user.,Logged in as Scheduler user,,RQ_005,PASS,TBD,Functional (Positive),High,Active
,,,,,2. Identify navigation links/menus: Locate all navigation links/menus from the navigation bar and any contextual or quick links.,,,,,,,,,
,,,,,"3. Confirm on each navigation menus: (Scheduling, Operations, Adminstiration, Reports, Library).",,,,,,,,,
RFMSS-SMK-144,Home,Verify Notifications (FA),Verify that notifications are displayed and functional on the Home page for Functional Administrator.,Functional Administrator logged in. A new user account is pending for activation.,1. Log in as FA.,Notifications are displayed and can be interacted with correctly for FA.,New user account pending for activation.,,RQ_006,PASS,TBD,Functional (Positive),Medium,Active
,,,,,2. Check for notification link on the Home page.,,,,,,,,,
,,,,,3. Click on a notification to view details.,,,,,,,,,
RFMSS-SMK-147,Home,Verify Notifications (Unit),Verify that notifications are displayed and functional on the Home page for Unit user.,Unit user logged in.,1. Log in as Unit user.,Notifications are displayed and can be interacted with correctly for Unit user.,Logged in as Unit user,,RQ_006,PASS,TBD,Functional (Positive),Medium,Active
,,,,,2. Check for notifications on the Home page.,,,,,,,,,
,,,,,3. Click on a notification to view details.,,,,,,,,,
RFMSS-SMK-150,Home,Verify Notifications (Sch),Verify that notifications are displayed and functional on the Home page for Scheduler user.,Scheduler user logged in.,1. Log in as Scheduler user.,Notifications are displayed and can be interacted with correctly for Scheduler user.,Logged in as Scheduler user,,RQ_006,PASS,TBD,Functional (Positive),Medium,Active
,,,,,2. Check for notifications on the Home page.,,,,,,,,,
,,,,,3. Click on a notification to view details.,,,,,,,,,
